Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws,Birth Year,Starting Age,Total Bouts,Win %
107,Billy Petrolle,welter,1922,12,"Duluth, Minnesota, USA",122,26,15,1905,17,163,0.748466258
108,Harold Johnson,light heavy,1946,25,"Manayunk, Pennsylvania, USA",76,11,0,1928,18,87,0.873563218
109,Jersey Joe Walcott,heavy,1930,23,"Camden, New Jersey, USA",49,20,1,1914,16,70,0.7
110,Joe Brown,light,1941,29,"Baton Rouge, Louisiana, USA",122,47,14,1926,15,183,0.666666667
111,Beau Jack,light,1939,16,"Augusta, Georgia, USA",91,24,5,1921,18,120,0.758333333
112,Michael Nunn,middle,1984,18,"Davenport, Iowa, USA",58,4,0,1963,21,62,0.935483871
113,Ceferino Garcia,middle,1923,22,"Los Angeles, California, USA",121,30,14,1906,17,165,0.733333333
114,Dave Sands,middle,1941,11,"Newcastle, New South Wales, Australia",87,10,1,1926,15,98,0.887755102
115,Johnny Dundee,light,1910,22,"New York, New York, USA",200,75,46,1893,17,321,0.62305296
116,Erik Morales,super bantam,1993,19,"Tijuana, Baja California, Mexico",52,9,0,1976,17,61,0.852459016
117,Sonny Liston,heavy,1953,17,"Saint Louis, Missouri, USA",50,4,0,1930,23,54,0.925925926
118,Eddie Perkins,super light,1956,19,"Chicago, Illinois, USA",74,20,3,1937,19,97,0.762886598
119,Spider Webb,middle,1953,8,"Chicago, Illinois, USA",34,6,0,1931,22,40,0.85
120,Joe Frazier,heavy,1965,16,"Philadelphia, Pennsylvania, USA",32,4,1,1944,21,37,0.864864865
121,Nonito Donaire,bantam,2001,22,"Las Vegas, Nevada, USA",42,8,0,1982,19,50,0.84
122,Wilfred Benitez,super welter,1973,17,"San Juan, Puerto Rico",53,8,1,1958,15,62,0.85483871
123,Eddie Booker,middle,1935,9,"San Jose, California, USA",68,5,8,1917,18,81,0.839506173
124,Miguel Cotto,welter,2001,16,"Caguas, Puerto Rico",41,6,0,1980,21,47,0.872340426
125,Michael Spinks,light heavy,1977,11,"Saint Louis, Missouri, USA",31,1,0,1956,21,32,0.96875
126,Dave Charnley,light,1954,10,"Dartford, Kent, United Kingdom",48,12,1,1935,19,61,0.786885246
127,Tommy Freeman,welter,1920,18,"Little Rock, Arkansas, USA",191,20,22,1904,16,233,0.819742489
128,Johnny Indrisano,welter,1923,11,"Boston, Massachusetts, USA",51,9,3,1905,18,63,0.80952381
129,Sandy Saddler,feather,1944,12,"New York, New York, USA",145,16,2,1926,18,163,0.889570552
130,Jack Dillon,light heavy,1908,15,"Frankfort, Indiana, USA",190,32,28,1891,17,250,0.76
131,Donald Curry,welter,1980,17,"Fort Worth, Texas, USA",34,6,0,1961,19,40,0.85
132,Fritzie Zivic,welter,1931,18,"Pittsburgh, Pennsylvania, USA",158,65,10,1913,18,233,0.678111588
133,Jock Malone,middle,1916,15,"Saint Paul, Minnesota, USA",134,41,13,1901,15,188,0.712765957
134,Carlos Hernandez,super light,1959,12,"Caracas, Venezuela",60,12,4,1940,19,76,0.789473684
135,Hector Camacho,light,1980,30,"New York, New York, USA",79,6,3,1962,18,88,0.897727273
136,Azumah Nelson,super feather,1979,29,"Accra, Ghana",38,6,2,1958,21,46,0.826086957
137,Artur Beterbiev,light heavy,2013,12,"Montreal, Quebec, Canada",21,1,0,1985,28,22,0.954545455
138,Errol Spence Jr,welter,2012,11,"Desoto, Texas, USA",28,1,0,1990,22,29,0.965517241
139,Sid Terris,light,1922,9,"New York, New York, USA",95,13,5,1904,18,113,0.840707965
140,Billy Miske,heavy,1913,10,"Saint Paul, Minnesota, USA",73,14,16,1894,19,103,0.708737864
141,Joey Giardello,middle,1948,19,"Philadelphia, Pennsylvania, USA",97,26,8,1930,18,131,0.740458015
142,Oleksandr Usyk*,heavy,2013,11,"Oxnard, California, USA",23,0,0,1987,26,23,1
143,Ricky Hatton,super light,1997,15,"Manchester, Lancashire, United Kingdom",45,3,0,1978,19,48,0.9375
144,Jack Delaney,light heavy,1919,13,"Bridgeport, Connecticut, USA",74,11,2,1900,19,87,0.850574713
145,Sandro Mazzinghi,super welter,1961,17,"Cascine di Buti, Toscana, Italy",64,3,0,1938,23,67,0.955223881
146,Davey Moore,feather,1953,10,"Springfield, Ohio, USA",59,7,1,1933,20,67,0.880597015
147,George Foreman,heavy,1969,28,"Houston, Texas, USA",76,5,0,1949,20,81,0.938271605
148,Cocoa Kid,welter,1929,19,"New Haven, Connecticut, USA",179,58,11,1914,15,248,0.721774194
149,Salvador Sanchez,feather,1975,7,"Tianguistenco, México, Mexico",44,1,1,1959,16,46,0.956521739
150,Art Aragon,light,1944,16,"Los Angeles, California, USA",90,20,6,1927,17,116,0.775862069
151,John Henry Lewis,light heavy,1929,10,"Phoenix, Arizona, USA",101,11,5,1914,15,117,0.863247863
152,Naseem Hamed,feather,1992,10,"Sheffield, Yorkshire, United Kingdom",36,1,0,1974,18,37,0.972972973
153,Bryan Downey,middle,1914,12,"Columbus, Ohio, USA",92,29,18,1896,18,139,0.661870504
154,Jimmy Clabby,middle,1906,17,"Hammond, Indiana, USA",100,25,31,1890,16,156,0.641025641
155,Bob Montgomery,light,1938,12,"Philadelphia, Pennsylvania, USA",75,19,3,1919,19,97,0.773195876
156,Terry Norris,super welter,1986,12,"Campo, California, USA",47,9,0,1967,19,56,0.839285714
