Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws
163,Pedro Montanez,light,1931,9,"Cayey, Puerto Rico",90,9,4
164,Len Harvey,light heavy,1920,22,"Stoke Climsland, Cornwall, United Kingdom",122,14,10
165,Vasyl Lomachenko,light,2013,11,"Oxnard, California, USA",18,3,0
166,Harry Wills,heavy,1911,21,"New Orleans, Louisiana, USA",89,10,7
167,Paul Williams,welter,2000,12,"Aiken, South Carolina, USA",41,2,0
168,Terry McGovern,feather,1897,11,"Brooklyn, New York, USA",66,5,8
169,Max Schmeling,heavy,1924,24,"Brandenburg, Germany",56,10,4
170,Vince Dundee,middle,1923,14,"Baltimore, Maryland, USA",122,21,14
171,Mikkel Kessler,super middle,1998,15,Denmark,46,3,0
172,Bennie Briscoe,middle,1962,20,"Philadelphia, Pennsylvania, USA",66,24,5
173,Aaron Pryor,super light,1976,14,"Cincinnati, Ohio, USA",39,1,0
174,Nel Tarleton,feather,1925,20,"Liverpool, Merseyside, United Kingdom",118,21,8
175,Ken Overlin,middle,1931,13,"Norfolk, Virginia, USA",136,19,10
176,Lou Brouillard,middle,1928,12,"Worcester, Massachusetts, USA",101,31,3
177,Ken Buchanan,light,1965,17,"Edinburgh, Scotland, United Kingdom",61,8,0
178,Kenny Lane,light,1953,32,"Muskegon, Michigan, USA",82,16,2
179,Johnny Griffiths,welter,1911,13,"Akron, Ohio, USA",76,35,31
180,Eder Jofre,bantam,1957,19,"Sao Paulo, Sao Paulo, Brazil",72,2,4
181,Al Hostak,middle,1932,17,"Seattle, Washington, USA",64,9,11
182,David Benavidez,light heavy,2013,12,"Las Vegas, Nevada, USA",30,0,0
183,Maxie Rosenbloom,light heavy,1923,16,"New York, New York, USA",224,44,28
184,Timothy Bradley Jr,super light,2004,12,"Palm Springs, California, USA",33,2,1
185,Ernesto Marcel,feather,1966,8,"Panama City, Panama",40,4,2
186,Mikey Garcia,light,2006,15,"Moreno Valley, California, USA",40,2,0
187,Mike O'Dowd,middle,1913,10,"Saint Paul, Minnesota, USA",95,15,8
188,Keith Thurman,super welter,2007,18,"Clearwater, Florida, USA",31,1,0
189,James Toney,middle,1988,29,"Sherman Oaks, California, USA",77,10,3
190,Juan Martin Coggi,super light,1982,17,"Brandsen, Buenos Aires, Argentina",75,5,2
191,Tiger Flowers,middle,1918,9,"New York, New York, USA",133,18,8
192,Johnny Saxton,welter,1949,9,"Newark, New Jersey, USA",55,9,2
193,Shakur Stevenson,light,2017,8,"Houston, Texas, USA",23,0,0
194,Antonio Margarito,welter,1994,23,"Tijuana, Baja California, Mexico",41,8,0
195,Laszlo Papp,middle,1957,7,"Budapest, Hungary",27,0,2
196,Curtis Cokes,welter,1958,14,"Dallas, Texas, USA",62,14,4
197,Carmen Basilio,welter,1948,13,"Canastota, New York, USA",56,16,7
198,Bermondsey Billy,welter,1911,21,"Bermondsey, London, United Kingdom",75,23,12
199,Frankie Schoell,welter,1918,12,"Buffalo, New York, USA",109,30,20
200,Kid Chocolate,feather,1927,11,"Havana, Cuba",136,10,6
201,Edwin Rosario,light,1979,18,"Toa Baja, Puerto Rico",47,6,0
202,Rocky Castellani,middle,1944,13,"Luzerne, Pennsylvania, USA",69,14,6
203,Ricardo Lopez,minimum,1985,16,"Mexico City, Distrito Federal, Mexico",51,0,1
204,Marlon Starling,welter,1979,11,"Hartford, Connecticut, USA",45,6,1
205,Ingemar Johansson,heavy,1952,11,"Gothenburg, Sweden",26,2,0
206,Pipino Cuevas,welter,1971,18,"Mexico City, Distrito Federal, Mexico",34,15,0
207,Vernon Forrest,welter,1992,16,"Atlanta, Georgia, USA",41,3,0
208,Chris John,feather,1998,15,"Semarang, Indonesia",48,1,3
209,George Costner,welter,1940,10,"Cincinnati, Ohio, USA",73,12,4
210,Vince Martinez,welter,1949,12,"Paterson, New Jersey, USA",69,8,0
211,George Benton,middle,1949,21,"Philadelphia, Pennsylvania, USA",62,13,1
212,Del Flanagan,welter,1947,17,"Saint Paul, Minnesota, USA",104,22,2
213,Sugar Ramos,feather,1957,15,"Mexico City, Distrito Federal, Mexico",55,7,4
214,Tony Zale,middle,1934,14,"Chicago, Illinois, USA",67,18,2
215,Alfredo Urbina,light,1957,12,"Ciudad Azteca, Distrito Federal, Mexico",59,21,4
